"FECHA DE MUESTREO,ESTACIONES,pH,SOLIDOS SUSPENDIDOS TOTALES (mg SS/l),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)"
"19/03/2019,PUENTE LA VIRGINIA,7.56,385,126,1.85"
"18/06/2019,ANTES SUAREZ,7.06,18,69.3,0.566"
"18/06/2019,ANTES RIO OVEJAS,7.36,11.6,70.1,0.552"
"18/06/2019,ANTES RIO TIMBA,7.24,11.6,65.9,0.518"
"18/06/2019,PASO DE LA BALSA,7.31,40,64.4,0.564"
"18/06/2019,PASO DE LA BOLSA,7.33,55,70.1,0.557"
"18/06/2019,PUENTE HORMIGUERO,7.64,92,81.5,0.464"
"18/06/2019,ANTES INTERCEPTOR SUR,6.85,133,85.4,0.649"
"18/06/2019,JUANCHITO,7.55,124,86.9,0.735"
"18/06/2019,PASO DEL COMERCIO,7.5,120,97.8,0.675"
"18/06/2019,PUERTO ISAACS,7.42,90,104,0.647"
"18/06/2019,PASO DE LA TORRE,7.24,70,114,0.635"
"18/06/2019,VIJES,7.34,138,121,0.653"
"18/06/2019,YOTOCO,7.18,135,130,0.695"
"18/06/2019,MEDIACANOA,7.29,154,128,0.678"
"18/06/2019,RIOFRIO,7.47,156,125,1.16"
"18/06/2019,PUENTE GUAYABAL,7.48,188,123,1.21"
"18/06/2019,LA VICTORIA,7.52,234,135,0.861"
"18/06/2019,ANACARO,7.49,413,125,1.25"
"18/06/2019,PUENTE LA VIRGINIA,6.87,130,143,0.905"
"14/08/2019,ANTES SUAREZ,6.35,11.6,85.1,0.66"
"14/08/2019,ANTES RIO OVEJAS,6.25,11.6,85.4,0.39"
"14/08/2019,ANTES RIO TIMBA,7.08,11.6,83.9,0.26"
"14/08/2019,PASO DE LA BALSA,6.86,16,81.9,0.25"
"14/08/2019,PASO DE LA BOLSA,6.96,17,83.9,0.78"
"14/08/2019,PUENTE HORMIGUERO,7.17,17,101,0.315"
"14/08/2019,ANTES INTERCEPTOR SUR,7.06,26,104,0.396"
"14/08/2019,JUANCHITO,7.05,19,108,0.626"
"14/08/2019,PASO DEL COMERCIO,7.02,19,125,0.41"
"14/08/2019,PUERTO ISAACS,7.05,16,133,0.35"
"14/08/2019,PASO DE LA TORRE,6.94,14,149,0.32"
"14/08/2019,VIJES,7.03,74,153,0.27"
"14/08/2019,YOTOCO,7.08,17,174,0.33"
"14/08/2019,MEDIACANOA,7.04,13,166,0.29"
"14/08/2019,RIOFRIO,7.28,78,166,0.41"
"14/08/2019,PUENTE GUAYABAL,7.62,77,176,0.43"
"14/08/2019,LA VICTORIA,7.26,59,184,0.63"
"14/08/2019,ANACARO,7.42,59,189,0.76"
"14/08/2019,PUENTE LA VIRGINIA,7.41,81,199,1.16"
"23/10/2019,ANTES SUAREZ,6.7,30,144,0.052"
"23/10/2019,ANTES RIO OVEJAS,6.72,23,184,0.052"
"23/10/2019,ANTES RIO TIMBA,7.06,32,111,0.572"
"23/10/2019,PASO DE LA BALSA,7.16,46,145,0.247"
"23/10/2019,PASO DE LA BOLSA,7.28,68,110,0.68"
"23/10/2019,PUENTE HORMIGUERO,7.87,680,124,1.09"
"23/10/2019,ANTES INTERCEPTOR SUR,7.64,73,130,0.709"
"23/10/2019,JUANCHITO,7.66,154,135,0.816"
"23/10/2019,PASO DEL COMERCIO,7.78,193,150,1.68"
"23/10/2019,PUERTO ISAACS,7.33,127,155,1.09"
"23/10/2019,PASO DE LA TORRE,7.03,132,184,1.4"
"23/10/2019,VIJES,7.05,47,202,0.348"
"23/10/2019,YOTOCO,7.16,94,205,1.46"
"23/10/2019,MEDIACANOA,7.16,79,186,0.678"
"23/10/2019,RIOFRIO,7.45,154,171,1.87"
"23/10/2019,PUENTE GUAYABAL,7.48,168,180,1.48"
"23/10/2019,LA VICTORIA,7.34,170,171,2.02"
"23/10/2019,ANACARO,7.44,260,174,1.28"
"23/10/2019,PUENTE LA VIRGINIA,7.55,435,159,1.27"
"18/03/2020,ANTES SUAREZ,7.07,11.6,112,0.346"
"18/03/2020,ANTES RIO OVEJAS,7.12,11.6,87,0.355"
"18/03/2020,ANTES RIO TIMBA,7.34,19,92.8,0.334"
"18/03/2020,PASO DE LA BALSA,7.38,29,81.6,0.382"
"18/03/2020,PASO DE LA BOLSA,7.31,40,82.2,0.379"
"18/03/2020,PUENTE HORMIGUERO,7.33,59,87.5,0.42"
"18/03/2020,ANTES INTERCEPTOR SUR,7.28,108,88.3,0.422"
"18/03/2020,JUANCHITO,7.25,118,92.8,0.485"
"18/03/2020,PASO DEL COMERCIO,7.16,74,108,0.43"
"18/03/2020,PUERTO ISAACS,6.98,114,143,0.438"
"18/03/2020,PASO DE LA TORRE,6.83,73,121,0.429"
"18/03/2020,VIJES,6.94,57,120,0.434"
"18/03/2020,YOTOCO,6.98,71,147,0.509"
